ID,Group,DefaultVeg,DefaultMeat,Default_Selection,Diet,Diet_4_TEXT,AgeGroup,Gender,Race,Race_6_TEXT,Hispanic,Employment,MealServed,Satisfaction,Plant_Importance,Plant_Importance_Why,Plant_Importance_Why_8_TEXT
1,DefaultMeat,Switch to a plant-based meal,,Other,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
2,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
3,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Very important,Environmental impact,
4,DefaultMeat,Stay with the meal with meat,,None of the above,,45-54 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
5,DefaultMeat,Stay with the meal with meat,,None of the above,,45-54 years old,Female,Asian,,Non-Hispanic/Non-Latinx,Staff,,,,,,
6,DefaultMeat,Stay with the meal with meat,,None of the above,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
7,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very satisfied,Not too important,,
8,DefaultMeat,Stay with the meal with meat,,Other,Gluten free,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Unsatisfied,Not important,,
9,DefaultMeat,Stay with the meal with meat,,Other,Carnivore,45-54 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
10,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
11,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,45-54 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Important,Environmental impact,
