ID,Group,DefaultVeg,DefaultMeat,Default_Selection,Diet,Diet_4_TEXT,AgeGroup,Race,Race_6_TEXT,Hispanic,Employment,Employment_5_TEXT,MealServed,Satisfaction,Plant_Importance,Plant_Importance_Why,Plant_Importance_Why_8_TEXT
1,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Satisfied,Not too important,,
2,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
3,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,35-44 years old,Asian,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Neither satisfied nor unsatisfied,Not too important,,
4,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,25-34 years old,Prefer not to say,,Prefer not to say,Staff,,,,,,
5,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
6,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,45-54 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Unsatisfied,Not important,,
7,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Vegan,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Neither satisfied nor unsatisfied,Very important,Support of animal welfare,
8,DefaultVeg,Stay with the plant-based meal,,DefaultStay,,,,,,,,,Plant-based meal,Satisfied,Not too important,,
9,DefaultVeg,Stay with the plant-based meal,,DefaultStay,,,,,,,,,,,,,
10,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegetarian,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Satisfied,Very important,Health,All of the reasons are important to me as a vegan
11,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Other,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,Meal with meat,Satisfied,Not too important,,
12,DefaultVeg,Stay with the plant-based meal,,DefaultStay,,,,,,,,,Plant-based meal,Satisfied,Very important,Health,
13,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,45-54 years old,White,,Hispanic/Latinx,Staff,,,,,,
14,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,45-54 years old,Prefer not to say,,Prefer not to say,Prefer not to say,,,,,,
15,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,18-24 years old,Asian,,Hispanic/Latinx,Undergraduate Student,,,,,,
16,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,45-54 years old,Black of African American,,Non-Hispanic/Non-Latinx,Staff,,,,,,
17,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Pescatarian,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,,,,,
18,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,,,,,Staff,,Meal with meat,Unsatisfied,Not too important,,
19,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,,,,,
20,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,45-54 years old,White,,Hispanic/Latinx,Faculty,,Plant-based meal,Neither satisfied nor unsatisfied,Important,Other,
21,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Pescatarian,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Plant-based meal,Satisfied,Important,Environmental impact,
22,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegetarian,,25-34 years old,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Unsatisfied,Important,Health,
23,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,,,55-64 years old,Asian,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Satisfied,Very important,Health,
24,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,,Other,,,,,,
25,DefaultMeat,,Stay with the meal with meat,DefaultStay,Other,Gluten intolerant,45-54 years old,White,,Non-Hispanic/Non-Latinx,Other,,Meal with meat,Satisfied,Not important,,
26,DefaultVeg,Switch to a meal with meat,,DefaultSwitch,None of the above,,,,,,,,,,,,
27,DefaultVeg,Stay with the plant-based meal,,DefaultStay,Other,Flexitarian,35-44 years old,White,,Hispanic/Latinx,Faculty,,Plant-based meal,Satisfied,Very important,Support of animal welfare,
28,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegetarian,,18-24 years old,White,,Hispanic/Latinx,Other,,,,,,
29,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,35-44 years old,White,,Non-Hispanic/Non-Latinx,Faculty,,Meal with meat,Unsatisfied,Not important,,
30,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegan,,18-24 years old,White,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Neither satisfied nor unsatisfied,Important,Health,
31,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,Vegetarian,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,Plant-based meal,Unsatisfied,Very important,Health,
32,DefaultMeat,,Stay with the meal with meat,DefaultStay,None of the above,,25-34 years old,White,,Hispanic/Latinx,Staff,,,,,,
33,DefaultMeat,,Switch to a plant-based meal,DefaultSwitch,None of the above,,25-34 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
34,DefaultVeg,Stay with the plant-based meal,,DefaultStay,None of the above,,18-24 years old,Asian,,Non-Hispanic/Non-Latinx,Graduate Student,,,,,,
